Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;
Electricity Producers Insurance Co. Ltd;Former Public Corporation;S.11001;;;;
Electricity Settlements Company Ltd;Central Government;S.1311;1-Aug-14;Jan-15;;
Elmbridge Borough Council;Local Government;S.1313;;;;
Employment Service;Former Central Government;S.1311;1-Apr-02;Nov-11;;
Employment Tribunals Service;Former Central Government;S.1311;1-Apr-06;Nov-11;;
Energy Advisory Panel;Former Central Government;S.1311;;;;
Energy Sales and Trading Ltd (s. BNFL);Former Public Corporation;S.11001;1-Apr-07;Jan-11;;
Engineering and Physical Sciences Research Council, The;Central Government;S.1311;;;;
Engineering Construction Industry Training Board;Central Government;S.1311;;;;
England Marketing Advisory Board;Central Government;S.1311;;;;
English Institute for Sport, The;Central Government;S.1311;1-Apr-02;Sep-12;;
English National Board for Nursing, Midwifery and Health Visiting;Former Central Government;S.1311;;;;
English Nature;Former Central Government;S.1311;;;;
English Partnerships (LP) Limited;Former Central Government;S.1311;;;;
English Tourism Council;Former Central Government;S.1311;;;;
Enniskillen Aerodrome;Local Government;S.1313;;;;
Enrichment Holdings Limited;Central Government;S.1311;1-Mar-08;Jan-13;;
Enrichment Investments Limited;Central Government;S.1311;1-Dec-09;Jan-13;;
Enterprise South Devon;Local Government;S.1313;;;;
Enterprise Ulster;Former Central Government;S.1311;;;;
Environment Agency;Central Government;S.1311;;;;
Environment and Heritage Service;Former Central Government;S.1311;1-Jul-08;Mar-12;;
Epping Forest District Council;Local Government;S.1313;;;;
Epsom and Ewell Borough Council;Local Government;S.1313;;;;
Equal Opportunities Commission (EOC);Former Central Government;S.1311;;;The Equal Opportunities Commission merged with the Commission for Racial Equality and the Disability Rights Commission to form a new Equality and Human Rights Commission in October 2007.;
Equal Opportunities Commission for Northern Ireland;Former Central Government;S.1311;;;;
Equality 2025;Central Government;S.1311;1-Dec-06;Apr-11;;
Equality and Human Rights Commission;Central Government;S.1311;;;;
Equality Commission for Northern Ireland;Central Government;S.1311;;;;
Erewash Borough Council;Local Government;S.1313;;;;
Essex Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Essex County Council;Local Government;S.1313;;;;
Ethnic Minority Business Forum;Former Central Government;S.1311;;;;
Euro-Hub (Birmingham);Local Government;S.1313;;;;
European Channel Broadcasting Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
European Channel Management Ltd (s BBCW);Public Non-Financial Corporation;S.11001;;;;
Eurostar (UK) Ltd;Former Public Corporation;S.11001;1-Sep-10;Aug-11;;
Exchange Equalisation Account;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Exeter and Devon Airport Ltd;Former Public Corporation;S.11001;;;;
Exeter City Council;Local Government;S.1313;;;;
Exmoor National Park Authority;Local Government;S.1313;1-Jun-96;Sep-12;;
Expert Advisory Group on AIDS;Central Government;S.1311;;;;
Expert Group on Cryptosporidium in Water Supplies;Former Central Government;S.1311;;;;
Expert Group on Vitamins and Minerals;Central Government;S.1311;;;;
Expert Panel on Air Quality Standards;Central Government;S.1311;;;;
Export Action Group for Building Materials;Former Central Government;S.1311;;;;
Export Credits Guarantee Department;Public Financial Corporation;S.12;;;;
Export Guarantees Advisory Council;Central Government;S.1311;;;;
Extra Parliamentary Panel;Central Government;S.1311;;;;
Eyemouth Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
F2 Chemicals Ltd - (s BNFL);Former Public Corporation;S.11001;;;;
F2 Chemicals Pension Trustee Co. Ltd (s BNFL Fl Ltd);Former Public Corporation;S.11001;;;;
Fair Employment Commission for Northern Ireland;Former Central Government;S.1311;;;;
Fair Employment Tribunal;Central Government;S.1311;;;;
Fairfields Art Centre Trust;Local Government;S.1313;;;;
Falkirk Council;Local Government;S.1313;;;;
Falmouth Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Family Health Services Appeal Authority;Former Central Government;S.1311;1-Apr-05;Mar-12;;
Family Health Services Appeal Authority (Tribunal);Former Central Government;S.1311;1-Jan-10;Mar-12;;
Family Practitioner Committees;Former Central Government;S.1311;;;;
Family Procedure Rule Committee;Central Government;S.1311;;;;
Fareham Borough Council;Local Government;S.1313;;;;
Farm Animal Welfare Council;Former Central Government;S.1311;1-Mar-11;Mar-12;;
Farming and Rural Conservation Agency;Former Central Government;S.1311;;;The Farming and Rural Conservation Agency ceased to exist on 1 April 2001.;
FCO Services;Public Non-Financial Corporation;S.11001;1-Apr-06;Aug-12;;
FE Improvement Ltd;Former Central Government;S.1311;1-Jun-08;Aug-11;;
Fellside Heat and Power Ltd (s. BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
Fenland District Council;Local Government;S.1313;;;;
Fermanagh and Omagh District Council;Local Government;S.1313;;;;
FHS Appeals Authority;Former Central Government;S.1311;;;;
Fieldwealth Ltd - (s LDDC);Former Public Corporation;S.11001;;;;
Fife Council;Local Government;S.1313;;;;
Fife Regional Council Harbour;Local Government;S.1313;;;;
FilmFour Ltd - (s C4);Public Non-Financial Corporation;S.11001;;;;
Finance Wales Investments (2) Ltd;Public Financial Corporation;S.12501;;;;
Finance Wales Investments Ltd;Public Financial Corporation;S.12501;;;;
Finance Wales Plc;Central Government;S.1311;;;;
Financial Conduct Authority;Public Financial Corporation;S.12601;1-Apr-13;Jun-13;;
Financial Ombudsman Service;Public Financial Corporation;S.12601;;;;
Financial Reporting Advisory Board;Central Government;S.1311;;;;
Financial Reporting Council, The;Central Government;S.1311;;;;
Financial Services and Markets Appeal Tribunal;Central Government;S.1311;;;;
Financial Services Authority;Former Public Financial Corporation;S.12601;1-Apr-13;Jun-13;;
Financial Services Compensation Scheme;Central Government;S.1311;;;;
Financial Services Tribunal;Former Central Government;S.1311;;;;
Fire and Civil Defence Authorities (En Bloc);Former Local Government;S.1313;;;;
Fire and Rescue Authorities (En Bloc);Local Government;S.1313;1-Oct-04;Dec-10;;
Fire and Rescue Authorities (Scotland) (En Bloc);Former Local Government;S.1313;1-Apr-13;Mar-13;;
Fire and Rescue Services (England and Wales) (En Bloc);Local Government;S.1313;;;;
Fire and Rescue Services (Scotland) (En Bloc);Former Local Government;S.1313;1-Apr-13;Mar-13;;
Fire Authority for Northern Ireland;Former Central Government;S.1311;1-Jul-06;Dec-10;;
Fire Service College;Public Non-Financial Corporation;S.11001;;;;
Firearms Consultative Committee;Central Government;S.1311;;;;
Firebuy;Former Central Government;S.1311;1-Apr-11;Oct-11;;
Firesmart Ltd - (s LDDC);Former Public Corporation;S.11001;;;;
First Choice Homes Oldham Ltd;Former Public Corporation;S.11001;1-Feb-11;Jul-13;;
First Rate Exchange Services Holdings Limited;Public Financial Corporation;S.12601;24-Jun-05;Nov-13;;
First Rate Exchange Services Limited;Public Financial Corporation;S.12601;24-Jun-05;Nov-13;;
Fisheries Conservancy Board for Northern Ireland;Former Central Government;S.1311;1-Jun-09;Apr-11;;
Fisheries Research Agency;Former Central Government;S.1311;;;;
Fisheries Research Services;Former Central Government;S.1311;1-Apr-09;Mar-11;;
Flamborough (North Sea Landing) Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Fleet Air Arm Museum;Public Non-Financial Corporation;S.11001;;;;
Flexibus Ltd - (s NITHC);Former Public Corporation;S.11001;1-Sep-08;Sep-11;;
Flintshire County Council;Local Government;S.1313;;;;
Fluorochem Ltd - (s BNFL F2 Ltd);Former Public Corporation;S.11001;;;;
Folkestone Sports Centre Trust Ltd;Local Government;S.1313;;;;
Food Advisory Committee;Central Government;S.1311;;;;
Food and Environment Research Agency (FERA);Former Central Government;S.1311;31-Mar-15;Dec-15;The Company formally 100% owned by Defra (Central Government) was wound up on 31/03/15 and became a joint venture with the private sector commencing 01/04/2015.;
Food from Britain;Former Central Government;S.1311;18-Jul-14;Nov-17;Food from Britain (FFB) was a DEFRA sponsored Non-Departmental Public Body which promoted UK food and drink exports between 1983 and 2009. FFB closed its operations in March 2009 but was formally abolised on 18 July 2014 under the The Public Bodies (Abolition of Food from Britain) Order 2014;
Food Standards Agency;Central Government;S.1311;;;;
Food Standards Scotland;Central Government;S.1311;1-Apr-15;Mar-16;Food Standards Scotland was established as a non-ministerial office on 1 April 2015 under the Food (Scotland) Act 2015. It is part of the Scottish Administration, alongside, but separate from, the Scottish Government. It is responsible for making sure that food is safe to eat, ensuing consumers know what they are eating and improving nutrition throughout Scotland. ONS assessed the statistical classification of Food Standards Scotland in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). It is concluded that Food Standards Scotland is a public sector funded non market body and so classified to the Central Government (S.1311) subsector, with effect from 1 April 2015.;
